"","spp","samples","var","scale","AICc","delta","df"
"pdev360","epfu","50","pdev","360",259.697528670611,0,3
"pdev330","epfu","50","pdev","330",259.916654348861,0.2191,3
"pdev300","epfu","50","pdev","300",260.206099551849,0.5086,3
"pdev270","epfu","50","pdev","270",260.580438526339,0.8829,3
"pdev240","epfu","50","pdev","240",260.882991210955,1.1855,3
"pdev210","epfu","50","pdev","210",261.317514763473,1.62,3
"pdev180","epfu","50","pdev","180",261.565955735621,1.8684,3
"pdev150","epfu","50","pdev","150",261.773301161187,2.0758,3
"pdev120","epfu","50","pdev","120",261.93603430322,2.2385,3
"pdev060","epfu","50","pdev","060",261.954862461964,2.2573,3
"pdev090","epfu","50","pdev","090",261.959901460081,2.2624,3
